sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,sample_type,nucleotide_type,collection_location,host_genome,notes
atcc_even,Katrina Kalantar,2019-09-24 18:26:34 -0700,COMPLETE,28289.0,4000000,3398764,84.969,2,0.588443,99.998,1.0,3999998,3999988,3999904,3999770,Simulated,DNA,"California, USA",Human,""
atcc_staggered,Katrina Kalantar,2019-09-24 18:26:35 -0700,COMPLETE,15573.0,4000000,3349485,83.737,2,0.597101,99.999,1.0,3999998,3999972,3999972,3997396,Simulated,DNA,"California, USA",Human,""
RL_S001,Katrina Kalantar,2019-08-19 14:47:01 -0700,COMPLETE,23550.0,99796358,82429052,82.597,8,0.0242632,99.65,1.0,99787104,99787100,99437858,99405860,Simulated,DNA,USA,Human,""
RM2_S001,Katrina Kalantar,2019-08-19 15:18:41 -0700,COMPLETE,35996.0,99837678,77120530,77.246,4,0.0259327,99.652,1.0,99812266,99812230,99464896,99453182,Simulated,DNA,USA,Human,""
RM2_S002,Katrina Kalantar,2019-08-20 09:03:37 -0700,COMPLETE,30470.0,99787568,82141477,82.316,24,0.0243481,99.65,1.0,99775116,99775008,99425696,99412402,Simulated,DNA,USA,Human,""
UnAmbiguouslyMapped_ds.7,Katrina Kalantar,2019-08-14 13:55:34 -0700,COMPLETE,6091.0,5727654,4884237,85.275,76,0.204738,99.999,1.17,5727422,5727422,5727368,4894682,simulated,DNA,"California, USA",Human,""
UnAmbiguouslyMapped_ds.buccal,Katrina Kalantar,2019-08-14 13:55:34 -0700,COMPLETE,8179.0,600000,574928,95.821,0,1.0,99.999,1.04,599955,599955,599950,575314,simulated,DNA,"California, USA",Human,""
UnAmbiguouslyMapped_ds.cityparks,Katrina Kalantar,2019-08-14 13:55:34 -0700,COMPLETE,9677.0,1200000,1182428,98.536,0,0.845707,99.999,1.01,1199969,1199969,1199956,1186747,simulated,DNA,"California, USA",Human,""
UnAmbiguouslyMapped_ds.gut,Katrina Kalantar,2019-08-14 13:55:34 -0700,COMPLETE,8314.0,500000,486953,97.391,0,1.0,100.0,1.03,499994,499994,499993,487733,simulated,DNA,"California, USA",Human,""
UnAmbiguouslyMapped_ds.hous1,Katrina Kalantar,2019-08-14 13:55:34 -0700,COMPLETE,9481.0,750000,735741,98.099,1,1.0,99.999,1.02,749973,749973,749964,736381,simulated,DNA,"California, USA",Human,""
UnAmbiguouslyMapped_ds.hous2,Katrina Kalantar,2019-08-14 13:55:35 -0700,COMPLETE,8495.0,500000,489966,97.993,0,1.0,100.0,1.02,499991,499991,499990,490350,simulated,DNA,"California, USA",Human,""
UnAmbiguouslyMapped_ds.nycsm,Katrina Kalantar,2019-08-14 13:55:35 -0700,COMPLETE,8029.0,500000,488914,97.783,0,1.0,99.999,1.02,499991,499991,499988,489270,simulated,DNA,"California, USA",Human,""
UnAmbiguouslyMapped_ds.soil,Katrina Kalantar,2019-08-14 13:55:35 -0700,COMPLETE,9754.0,2500000,2457901,98.316,0,0.406848,99.999,1.01,2499923,2499923,2499906,2466909,simulated,DNA,"California, USA",Human,""
